Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Croatia,2012,Carbapenems,329,2,0,331,99.4 %,0.6 %,0.0 %
Croatia,2013,Carbapenems,371,3,2,376,98.7 %,0.8 %,0.5 %
Cyprus,2005,Carbapenems,9,0,0,9,100.0 %,0.0 %,0.0 %
Cyprus,2006,Carbapenems,26,0,0,26,100.0 %,0.0 %,0.0 %
Cyprus,2007,Carbapenems,38,0,1,39,97.4 %,0.0 %,2.6 %
Cyprus,2008,Carbapenems,56,0,6,62,90.3 %,0.0 %,9.7 %
Cyprus,2009,Carbapenems,43,1,9,53,81.1 %,1.9 %,17.0 %
Cyprus,2010,Carbapenems,55,1,11,67,82.1 %,1.5 %,16.4 %
Cyprus,2011,Carbapenems,69,1,13,83,83.1 %,1.2 %,15.7 %
Cyprus,2012,Carbapenems,59,0,6,65,90.8 %,0.0 %,9.2 %
Cyprus,2013,Carbapenems,63,1,4,68,92.6 %,1.5 %,5.9 %
Czech Republic,2005,Carbapenems,44,0,0,44,100.0 %,0.0 %,0.0 %
Czech Republic,2006,Carbapenems,15,0,0,15,100.0 %,0.0 %,0.0 %
Czech Republic,2007,Carbapenems,287,0,0,287,100.0 %,0.0 %,0.0 %
Czech Republic,2008,Carbapenems,1257,0,3,1260,99.8 %,0.0 %,0.2 %
Czech Republic,2009,Carbapenems,1211,0,3,1214,99.8 %,0.0 %,0.2 %
Czech Republic,2010,Carbapenems,1100,2,1,1103,99.7 %,0.2 %,0.1 %
Czech Republic,2011,Carbapenems,1187,5,1,1193,99.5 %,0.4 %,0.1 %
Czech Republic,2012,Carbapenems,1298,5,4,1307,99.3 %,0.4 %,0.3 %
Czech Republic,2013,Carbapenems,1121,6,6,1133,98.9 %,0.5 %,0.5 %
Denmark,2006,Carbapenems,44,0,0,44,100.0 %,0.0 %,0.0 %
Denmark,2007,Carbapenems,93,0,0,93,100.0 %,0.0 %,0.0 %
Denmark,2008,Carbapenems,522,0,1,523,99.8 %,0.0 %,0.2 %
Denmark,2009,Carbapenems,504,0,0,504,100.0 %,0.0 %,0.0 %
